ticket_handle,game_handle,outcome_h_plus,outcome_h,outcome_t,outcome_v,outcome_v_plus
2594,56,0,0,1,0,0
2594,28,0,0,0,0,0
2594,48,0,0,0,1,1
2594,43,0,0,0,1,1
2594,60,1,1,0,0,0
2594,61,1,1,0,0,0
2594,62,1,1,0,0,0
2594,63,1,1,0,0,0
2594,64,1,1,0,0,0
2594,65,0,0,0,0,0
2594,66,0,0,0,0,0
2594,67,0,0,0,0,0
2594,69,0,1,0,0,0
2594,80,0,0,0,0,0
2594,81,0,1,0,0,0
2594,53,0,1,0,0,0
2594,26,0,1,0,0,0
2594,27,0,1,0,0,0
2594,22,0,0,0,1,1
2594,49,0,0,0,1,1
2594,46,0,0,1,0,0
2594,45,0,0,1,0,0
2594,42,0,0,0,1,1
2594,29,0,0,0,1,1
2594,40,0,0,0,0,0
2594,41,0,1,0,0,0
2594,1,0,0,1,0,0
2594,3,0,0,1,0,0
2594,2,0,0,1,0,0
2594,5,0,1,0,0,0
2594,18,0,0,0,1,1
2594,7,0,0,0,1,1
2594,6,0,0,0,0,0
2594,9,0,0,0,0,0
2594,8,1,1,0,0,0
2594,68,0,0,0,0,0
2594,77,0,0,0,0,0
2594,76,0,1,0,0,0
2594,75,0,0,1,0,0
2594,74,0,0,1,0,0
2594,73,0,0,1,0,0
2594,72,0,1,0,0,0
2594,71,0,0,1,0,0
2594,70,0,1,0,0,0
2594,59,0,1,0,0,0
2594,79,0,1,0,0,0
2594,78,0,0,0,0,0
2594,11,0,0,0,0,0
2594,10,0,0,0,1,1
2594,12,0,0,0,1,1
2594,15,0,0,0,1,1
2594,58,1,1,0,0,0
2594,14,0,0,0,0,0
2594,16,0,0,1,0,0
2594,19,1,1,0,0,0
2594,54,0,0,1,0,0
2594,31,1,1,0,0,0
2594,30,0,0,1,0,0
2594,51,1,1,0,0,0
2594,36,1,1,0,0,0
2594,35,1,1,0,0,0
2594,52,0,0,0,1,1
2594,55,0,0,0,1,1
2594,37,0,1,1,0,0
2594,32,0,0,1,0,0
2594,17,0,0,0,0,0
2594,57,1,1,0,0,0
2594,50,0,0,0,0,0
2595,28,0,0,0,0,0
2595,43,0,0,0,1,1
2595,82,0,0,0,0,0
2595,88,0,0,0,0,0
2595,67,1,1,0,0,0
2595,68,0,1,1,0,0
2595,83,0,1,0,0,0
2595,81,0,1,0,0,0
2595,86,0,0,0,0,0
2595,87,0,1,0,0,0
2595,85,0,0,0,0,0
2595,26,0,1,0,0,0
2595,27,0,1,0,0,0
2595,22,0,0,0,1,1
2595,49,1,1,0,0,0
2595,46,0,0,1,0,0
2595,45,0,0,1,0,0
2595,42,0,0,0,1,1
2595,29,0,0,0,1,1
2595,40,0,0,0,0,0
2595,41,0,1,0,0,0
2595,1,0,0,1,0,0
2595,3,0,0,1,0,0
2595,2,0,0,1,0,0
2595,5,0,1,0,0,0
2595,7,0,0,0,1,1
2595,6,0,0,0,0,0
2595,9,0,0,0,0,0
2595,8,1,1,0,0,0
2595,70,1,1,0,0,0
2595,69,0,0,0,1,1
2595,14,0,0,1,0,0
2595,11,0,0,0,0,0
2595,10,0,0,0,1,1
2595,12,0,0,0,1,1
2595,15,0,0,0,1,1
2595,48,0,0,0,1,1
2595,17,0,0,0,0,0
2595,16,0,0,1,0,0
2595,19,0,0,0,1,1
2595,32,0,0,1,0,0
2595,31,1,1,0,0,0
2595,30,0,0,1,0,0
2595,51,0,0,0,0,0
2595,36,1,1,0,0,0
2595,35,1,1,0,0,0
2595,37,0,1,1,0,0
2595,18,0,0,0,1,1
2595,50,1,1,0,0,0
2596,30,0,1,1,0,0
2596,54,0,1,0,0,0
2596,42,0,0,0,0,0
2596,29,0,0,1,0,0
2596,24,0,1,0,0,0
2596,25,0,0,0,1,1
2596,26,0,0,0,1,1
2596,27,1,1,0,0,0
2596,20,0,0,0,1,1
2596,21,0,0,1,0,0
2596,22,0,0,0,1,1
2596,49,0,1,0,0,0
2596,46,0,1,0,0,0
2596,47,0,1,0,0,0
2596,44,0,0,0,0,0
2596,45,0,0,1,0,0
2596,28,0,1,1,0,0
2596,43,0,0,1,0,0
2596,40,0,0,0,0,0
2596,41,0,0,0,0,0
2596,9,0,0,0,0,0
2596,39,0,0,0,0,0
2596,38,0,1,0,0,0
2596,11,0,0,0,0,0
2596,10,0,0,0,1,1
2596,13,0,0,1,0,0
2596,12,0,0,0,1,1
2596,48,0,0,0,0,0
2596,19,1,1,0,0,0
2596,18,0,0,0,1,1
2596,31,1,1,0,0,0
2596,23,0,1,0,0,0
2596,51,0,0,0,0,0
2596,50,0,0,0,0,0
2596,53,0,1,0,0,0
2596,52,0,0,1,0,0
2596,55,0,1,0,0,0
2596,32,0,0,0,1,1
2597,56,1,1,0,0,0
2597,53,0,1,0,0,0
2597,51,0,0,0,0,0
2597,36,1,1,0,0,0
2597,60,0,1,0,0,0
2597,61,0,0,0,0,0
2597,62,0,1,0,0,0
2597,63,1,1,0,0,0
2597,64,1,1,0,0,0
2597,65,0,0,0,1,1
2597,66,0,0,0,1,1
2597,67,0,0,0,1,1
2597,82,0,0,1,0,0
2597,83,0,1,0,0,0
2597,80,0,0,0,0,0
2597,81,0,0,0,0,0
2597,86,0,1,0,0,0
2597,87,0,1,0,0,0
2597,84,0,1,0,0,0
2597,85,0,1,0,0,0
2597,24,1,1,0,0,0
2597,25,0,0,0,0,0
2597,26,0,0,0,1,1
2597,27,0,0,0,0,0
2597,20,1,1,0,0,0
2597,21,0,0,0,1,1
2597,22,0,0,1,0,0
2597,49,1,1,0,0,0
2597,46,1,1,0,0,0
2597,23,0,0,0,1,1
2597,44,0,0,1,0,0
2597,45,0,0,1,0,0
2597,1,0,0,1,0,0
2597,3,1,1,0,0,0
2597,2,1,1,0,0,0
2597,5,0,0,1,0,0
2597,4,1,1,0,0,0
2597,7,0,0,1,0,0
2597,6,0,0,0,0,0
2597,9,0,0,0,1,1
2597,8,0,1,0,0,0
2597,52,0,0,0,1,1
2597,68,0,1,0,0,0
2597,77,0,1,0,0,0
2597,76,0,1,0,0,0
2597,75,0,0,1,0,0
2597,73,0,0,1,0,0
2597,72,0,0,0,1,1
2597,71,0,0,0,1,1
2597,47,0,0,0,1,1
2597,79,0,1,0,0,0
2597,78,0,0,0,0,0
2597,10,0,0,0,0,0
2597,39,0,0,1,0,0
2597,12,0,0,0,1,1
2597,59,1,1,0,0,0
2597,58,0,0,0,0,0
2597,14,0,0,0,0,0
2597,55,0,0,1,0,0
2597,54,1,1,0,0,0
2597,57,0,0,0,1,1
2597,30,0,1,0,0,0
2597,37,0,0,1,0,0
2597,50,0,0,0,1,1
2597,35,0,0,0,1,1
2597,34,0,0,0,0,0
2597,89,0,0,1,0,0
2597,88,0,1,0,0,0
2597,32,0,0,0,0,0
2597,31,0,0,1,0,0
2590,24,0,0,0,0,0
2590,25,0,0,0,0,0
2590,26,0,0,0,0,0
