Symbol,Name,Sector,price_count,intraday_mean,intraday_stddev
CAH,Cardinal Health Inc.,Health Care,5942.0000,0.0213,0.0123
KMX,Carmax Inc,Consumer Discretionary,5413.0000,0.0222,0.0115
CCL,Carnival Corp.,Consumer Discretionary,5942.0000,0.0155,0.0082
CAT,Caterpillar Inc.,Industrials,5942.0000,0.0193,0.0121
CBOE,Cboe Global Markets,Financials,2052.0000,0.0180,0.0125
CBRE,CBRE Group,Real Estate,99.0000,0.0184,0.0112
CBS,CBS Corp.,Consumer Discretionary,3190.0000,0.0226,0.0113
CELG,Celgene Corp.,Health Care,5942.0000,0.0211,0.0104
CNC,Centene Corporation,Health Care,4191.0000,0.0228,0.0119
CNP,CenterPoint Energy,Utilities,5942.0000,0.0146,0.0073
CTL,CenturyLink Inc,Telecommunication Services,5942.0000,0.0270,0.0151
CERN,Cerner,Health Care,5942.0000,0.0184,0.0095
CF,CF Industries Holdings Inc,Materials,3270.0000,0.0304,0.0131
SCHW,Charles Schwab Corporation,Financials,5942.0000,0.0205,0.0102
CHTR,Charter Communications,Consumer Discretionary,2163.0000,0.0240,0.0118
CVX,Chevron Corp.,Energy,5942.0000,0.0149,0.0083
CMG,Chipotle Mexican Grill,Consumer Discretionary,3155.0000,0.0258,0.0128
CB,Chubb Limited,Financials,5942.0000,0.0137,0.0075
CHD,Church & Dwight,Consumer Staples,5942.0000,0.0148,0.0077
CI,CIGNA Corp.,Health Care,5942.0000,0.0170,0.0091
XEC,Cimarex Energy,Energy,3995.0000,0.0257,0.0116
CINF,Cincinnati Financial,Financials,5942.0000,0.0155,0.0085
CTAS,Cintas Corporation,Industrials,5942.0000,0.0148,0.0089
CSCO,Cisco Systems,Information Technology,5942.0000,0.0157,0.0092
C,Citigroup Inc.,Financials,5942.0000,0.0171,0.0085
CFG,Citizens Financial Group,Financials,975.0000,0.0226,0.0100
CTXS,Citrix Systems,Information Technology,5705.0000,0.0172,0.0096
CME,CME Group Inc.,Financials,3944.0000,0.0165,0.0085
CMS,CMS Energy,Utilities,5942.0000,0.0127,0.0060
KO,Coca-Cola Company (The),Consumer Staples,5942.0000,0.0104,0.0055
CTSH,Cognizant Technology Solutions,Information Technology,5067.0000,0.0149,0.0072
CL,Colgate-Palmolive,Consumer Staples,5942.0000,0.0130,0.0071
CMCSA,Comcast Corp.,Consumer Discretionary,5942.0000,0.0201,0.0101
CMA,Comerica Inc.,Financials,5942.0000,0.0206,0.0090
CAG,Conagra Brands,Consumer Staples,5942.0000,0.0159,0.0075
CXO,Concho Resources,Energy,2773.0000,0.0253,0.0123
COP,ConocoPhillips,Energy,5942.0000,0.0208,0.0085
ED,Consolidated Edison,Utilities,5942.0000,0.0126,0.0054
STZ,Constellation Brands,Consumer Staples,5942.0000,0.0144,0.0070
GLW,Corning Inc.,Information Technology,5942.0000,0.0159,0.0093
COST,Costco Wholesale Corp.,Consumer Staples,5942.0000,0.0143,0.0072
COTY,"Coty, Inc",Consumer Staples,1298.0000,0.0247,0.0145
CCI,Crown Castle International Corp.,Real Estate,5026.0000,0.0166,0.0088
CSRA,CSRA Inc.,Information Technology,590.0000,0.0164,0.0109
CSX,CSX Corp.,Industrials,5942.0000,0.0207,0.0097
CMI,Cummins Inc.,Industrials,5942.0000,0.0171,0.0093
CVS,CVS Health,Consumer Staples,5942.0000,0.0204,0.0127
DHI,D. R. Horton,Consumer Discretionary,5942.0000,0.0217,0.0110
DHR,Danaher Corp.,Health Care,5942.0000,0.0128,0.0069
DRI,Darden Restaurants,Consumer Discretionary,5854.0000,0.0176,0.0085
DVA,DaVita Inc.,Health Care,5732.0000,0.0197,0.0124
DE,Deere & Co.,Industrials,5942.0000,0.0185,0.0112
DAL,Delta Air Lines Inc.,Industrials,2837.0000,0.0211,0.0099
XRAY,Dentsply Sirona,Health Care,5942.0000,0.0195,0.0115
DVN,Devon Energy Corp.,Energy,5942.0000,0.0285,0.0121
DLR,Digital Realty Trust Inc,Real Estate,3467.0000,0.0184,0.0092
DFS,Discover Financial Services,Financials,2808.0000,0.0174,0.0087
DISCA,Discovery Inc. Class A,Consumer Discretionary,3294.0000,0.0286,0.0148
DISCK,Discovery Inc. Class C,Consumer Discretionary,2489.0000,0.0282,0.0146
DISH,Dish Network,Consumer Discretionary,5824.0000,0.0253,0.0147
DG,Dollar General,Consumer Discretionary,2197.0000,0.0194,0.0098
DLTR,Dollar Tree,Consumer Discretionary,5896.0000,0.0218,0.0109
D,Dominion Energy,Utilities,5942.0000,0.0131,0.0060
DOV,Dover Corp.,Industrials,5942.0000,0.0177,0.0101
DWDP,DowDuPont,Materials,238.0000,0.0191,0.0106
DPS,Dr Pepper Snapple Group,Consumer Staples,2561.0000,0.0112,0.0063
DTE,DTE Energy Co.,Utilities,5942.0000,0.0128,0.0058
DUK,Duke Energy,Utilities,5942.0000,0.0123,0.0055
DRE,Duke Realty Corp,Real Estate,5942.0000,0.0150,0.0068
DXC,DXC Technology,Information Technology,382.0000,0.0188,0.0106
ETFC,E*Trade,Financials,5531.0000,0.0218,0.0107
EMN,Eastman Chemical,Materials,5942.0000,0.0167,0.0086
ETN,Eaton Corporation,Industrials,5942.0000,0.0159,0.0080
EBAY,eBay Inc.,Information Technology,5000.0000,0.0186,0.0081
ECL,Ecolab Inc.,Materials,5942.0000,0.0119,0.0073
EIX,Edison Int'l,Utilities,5942.0000,0.0157,0.0112
EW,Edwards Lifesciences,Health Care,4621.0000,0.0189,0.0093
EA,Electronic Arts,Information Technology,5942.0000,0.0222,0.0109
EMR,Emerson Electric Company,Industrials,5942.0000,0.0161,0.0089
ETR,Entergy Corp.,Utilities,5942.0000,0.0143,0.0064
EVHC,Envision Healthcare,Health Care,1255.0000,0.0277,0.0189
EOG,EOG Resources,Energy,5942.0000,0.0207,0.0089
EQT,EQT Corporation,Energy,5942.0000,0.0272,0.0133
EFX,Equifax Inc.,Industrials,5942.0000,0.0178,0.0144
EQIX,Equinix,Real Estate,4525.0000,0.0188,0.0092
EQR,Equity Residential,Real Estate,5942.0000,0.0142,0.0064
ESS,"Essex Property Trust, Inc.",Real Estate,5942.0000,0.0161,0.0072
EL,Estee Lauder Cos.,Consumer Staples,5719.0000,0.0153,0.0080
RE,Everest Re Group Ltd.,Financials,5752.0000,0.0175,0.0105
ES,Eversource Energy,Utilities,5942.0000,0.0135,0.0068
EXC,Exelon Corp.,Utilities,5942.0000,0.0150,0.0062
EXPE,Expedia Inc.,Consumer Discretionary,3285.0000,0.0210,0.0103
EXPD,Expeditors International,Industrials,5942.0000,0.0173,0.0115
ESRX,Express Scripts,Health Care,5942.0000,0.0212,0.0130
EXR,Extra Space Storage,Real Estate,3520.0000,0.0182,0.0088
XOM,Exxon Mobil Corp.,Energy,5942.0000,0.0123,0.0069
FFIV,F5 Networks,Information Technology,4826.0000,0.0181,0.0094
FB,"Facebook, Inc.",Information Technology,1565.0000,0.0180,0.0113
FAST,Fastenal Co,Industrials,5942.0000,0.0219,0.0112
FRT,Federal Realty Investment Trust,Real Estate,5942.0000,0.0174,0.0076
FDX,FedEx Corporation,Industrials,5942.0000,0.0167,0.0082
FIS,Fidelity National Information Services,Information Technology,4310.0000,0.0122,0.0069
FITB,Fifth Third Bancorp,Financials,5942.0000,0.0205,0.0087
FE,FirstEnergy Corp,Utilities,5219.0000,0.0170,0.0078
FISV,Fiserv Inc,Information Technology,5942.0000,0.0133,0.0074
FLIR,FLIR Systems,Information Technology,5942.0000,0.0173,0.0100
FLS,Flowserve Corporation,Industrials,5942.0000,0.0225,0.0124
FLR,Fluor Corp.,Industrials,4447.0000,0.0200,0.0095
FMC,FMC Corporation,Materials,5942.0000,0.0205,0.0123
FL,Foot Locker Inc,Consumer Discretionary,5942.0000,0.0295,0.0144
F,Ford Motor,Consumer Discretionary,5942.0000,0.0168,0.0083
FTV,Fortive Corp,Industrials,529.0000,0.0151,0.0087
FBHS,Fortune Brands Home & Security,Industrials,1734.0000,0.0157,0.0089
BEN,Franklin Resources,Financials,5942.0000,0.0176,0.0095
FCX,Freeport-McMoRan Inc.,Materials,5812.0000,0.0319,0.0155
GPS,Gap Inc.,Consumer Discretionary,5942.0000,0.0283,0.0129
GRMN,Garmin Ltd.,Consumer Discretionary,4442.0000,0.0157,0.0075
IT,Gartner Inc,Information Technology,5942.0000,0.0160,0.0082
GD,General Dynamics,Industrials,5942.0000,0.0148,0.0090
GE,General Electric,Industrials,5942.0000,0.0202,0.0130
GGP,General Growth Properties Inc.,Real Estate,5942.0000,0.0205,0.0134
GIS,General Mills,Consumer Staples,5942.0000,0.0166,0.0090
GM,General Motors,Consumer Discretionary,1942.0000,0.0190,0.0097
GPC,Genuine Parts,Consumer Discretionary,5942.0000,0.0161,0.0079
GILD,Gilead Sciences,Health Care,5942.0000,0.0190,0.0101
GPN,Global Payments Inc.,Information Technology,4418.0000,0.0174,0.0086
GS,Goldman Sachs Group,Financials,4848.0000,0.0179,0.0089
GT,Goodyear Tire & Rubber,Consumer Discretionary,5942.0000,0.0210,0.0120
GWW,Grainger (W.W.) Inc.,Industrials,5942.0000,0.0237,0.0130
HAL,Halliburton Co.,Energy,5942.0000,0.0226,0.0095
HBI,Hanesbrands Inc,Consumer Discretionary,3001.0000,0.0247,0.0144
HOG,Harley-Davidson,Consumer Discretionary,5942.0000,0.0218,0.0111
HRS,Harris Corporation,Information Technology,5942.0000,0.0149,0.0097
HIG,Hartford Financial Svc.Gp.,Financials,5700.0000,0.0146,0.0078
HAS,Hasbro Inc.,Consumer Discretionary,5942.0000,0.0187,0.0121
HCA,HCA Holdings,Health Care,1866.0000,0.0185,0.0092
HCP,HCP Inc.,Real Estate,5942.0000,0.0178,0.0078
HP,Helmerich & Payne,Energy,5942.0000,0.0274,0.0117
HSIC,Henry Schein,Health Care,5729.0000,0.0195,0.0114
HES,Hess Corporation,Energy,5942.0000,0.0290,0.0121
HPE,Hewlett Packard Enterprise,Information Technology,706.0000,0.0207,0.0104
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,1171.0000,0.0167,0.0083
HOLX,Hologic,Health Care,5942.0000,0.0183,0.0100
HD,Home Depot,Consumer Discretionary,5942.0000,0.0141,0.0091
HON,Honeywell Int'l Inc.,Industrials,5942.0000,0.0123,0.0071
HRL,Hormel Foods Corp.,Consumer Staples,5942.0000,0.0164,0.0080
HST,Host Hotels & Resorts,Real Estate,5942.0000,0.0188,0.0086
HPQ,HP Inc.,Information Technology,5942.0000,0.0186,0.0098
HUM,Humana Inc.,Health Care,5942.0000,0.0174,0.0082
HBAN,Huntington Bancshares,Financials,5942.0000,0.0197,0.0084
HII,Huntington Ingalls Industries,Industrials,1858.0000,0.0188,0.0112
IDXX,IDEXX Laboratories,Health Care,5942.0000,0.0206,0.0107
INFO,IHS Markit Ltd.,Industrials,1042.0000,0.0156,0.0103
ITW,Illinois Tool Works,Industrials,5942.0000,0.0150,0.0090
ILMN,Illumina Inc,Health Care,4535.0000,0.0223,0.0118
INCY,Incyte,Health Care,5942.0000,0.0319,0.0145
IR,Ingersoll-Rand PLC,Industrials,5942.0000,0.0168,0.0084
INTC,Intel Corp.,Information Technology,5942.0000,0.0192,0.0110
ICE,Intercontinental Exchange,Financials,3202.0000,0.0150,0.0076
IBM,International Business Machines,Information Technology,5942.0000,0.0125,0.0067
IP,International Paper,Materials,5942.0000,0.0172,0.0090
IPG,Interpublic Group,Consumer Discretionary,5942.0000,0.0204,0.0107
IFF,Intl Flavors & Fragrances,Materials,5942.0000,0.0147,0.0077
INTU,Intuit Inc.,Information Technology,5942.0000,0.0161,0.0086
ISRG,Intuitive Surgical Inc.,Health Care,4564.0000,0.0190,0.0105
IVZ,Invesco Ltd.,Financials,5778.0000,0.0193,0.0096
IPGP,IPG Photonics Corp.,Information Technology,2932.0000,0.0256,0.0159
IQV,IQVIA Holdings Inc.,Health Care,1322.0000,0.0180,0.0105
IRM,Iron Mountain Incorporated,Real Estate,5668.0000,0.0178,0.0092
JBHT,J. B. Hunt Transport Services,Industrials,5942.0000,0.0202,0.0102
JEC,Jacobs Engineering Group,Industrials,5942.0000,0.0195,0.0113
SJM,JM Smucker,Consumer Staples,5942.0000,0.0178,0.0103
JNJ,Johnson & Johnson,Health Care,5942.0000,0.0129,0.0082
JCI,Johnson Controls International,Industrials,5942.0000,0.0188,0.0094
