Symbol,Name,Sector,price_count,intraday_mean,intraday_stddev
RHT,Red Hat Inc.,Information Technology,4779.0000,0.0192,0.0115
REG,Regency Centers Corporation,Real Estate,5942.0000,0.0183,0.0079
REGN,Regeneron,Health Care,5942.0000,0.0271,0.0129
RF,Regions Financial Corp.,Financials,5942.0000,0.0216,0.0094
RSG,Republic Services Inc,Industrials,5059.0000,0.0111,0.0068
RMD,ResMed,Health Care,5837.0000,0.0160,0.0093
RHI,Robert Half International,Industrials,5941.0000,0.0187,0.0098
ROK,Rockwell Automation Inc.,Industrials,5942.0000,0.0178,0.0106
COL,Rockwell Collins,Industrials,4313.0000,0.0107,0.0080
ROP,Roper Technologies,Industrials,5942.0000,0.0147,0.0089
ROST,Ross Stores,Consumer Discretionary,5942.0000,0.0192,0.0089
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,5942.0000,0.0202,0.0105
SPGI,"S&P Global, Inc.",Financials,4421.0000,0.0151,0.0094
CRM,Salesforce.com,Information Technology,3557.0000,0.0179,0.0099
SBAC,SBA Communications,Real Estate,4818.0000,0.0194,0.0106
SCG,SCANA Corp,Utilities,5942.0000,0.0259,0.0166
SLB,Schlumberger Ltd.,Energy,5942.0000,0.0189,0.0084
STX,Seagate Technology,Information Technology,3941.0000,0.0264,0.0127
SEE,Sealed Air,Materials,5942.0000,0.0159,0.0085
SRE,Sempra Energy,Utilities,5061.0000,0.0146,0.0074
SHW,Sherwin-Williams,Materials,5942.0000,0.0159,0.0083
SPG,Simon Property Group Inc,Real Estate,5942.0000,0.0187,0.0076
SWKS,Skyworks Solutions,Information Technology,5942.0000,0.0227,0.0111
SLG,SL Green Realty,Real Estate,5279.0000,0.0169,0.0072
SNA,Snap-On Inc.,Consumer Discretionary,5942.0000,0.0176,0.0102
SO,Southern Co.,Utilities,5942.0000,0.0130,0.0058
LUV,Southwest Airlines,Industrials,5942.0000,0.0205,0.0109
SWK,Stanley Black & Decker,Consumer Discretionary,5942.0000,0.0155,0.0084
SBUX,Starbucks Corp.,Consumer Discretionary,5942.0000,0.0148,0.0078
STT,State Street Corp.,Financials,5942.0000,0.0172,0.0082
SRCL,Stericycle Inc,Industrials,5526.0000,0.0188,0.0114
SYK,Stryker Corp.,Health Care,5942.0000,0.0142,0.0078
STI,SunTrust Banks,Financials,5942.0000,0.0185,0.0087
SIVB,SVB Financial,Financials,5942.0000,0.0266,0.0123
SYMC,Symantec Corp.,Information Technology,5942.0000,0.0218,0.0110
SYF,Synchrony Financial,Financials,1013.0000,0.0222,0.0123
SNPS,Synopsys Inc.,Information Technology,5942.0000,0.0150,0.0091
SYY,Sysco Corp.,Consumer Staples,5942.0000,0.0135,0.0084
TROW,T. Rowe Price Group,Financials,5942.0000,0.0179,0.0092
TTWO,Take-Two Interactive,Information Technology,5365.0000,0.0265,0.0150
TPR,"Tapestry, Inc.",Consumer Discretionary,4486.0000,0.0193,0.0090
TGT,Target Corp.,Consumer Discretionary,5942.0000,0.0216,0.0132
TEL,TE Connectivity Ltd.,Information Technology,2808.0000,0.0153,0.0085
FTI,TechnipFMC,Energy,4314.0000,0.0222,0.0095
TXN,Texas Instruments,Information Technology,5942.0000,0.0177,0.0093
TXT,Textron Inc.,Industrials,5942.0000,0.0168,0.0082
BK,The Bank of New York Mellon Corp.,Financials,5942.0000,0.0158,0.0079
CLX,The Clorox Company,Consumer Staples,5942.0000,0.0155,0.0080
COO,The Cooper Companies,Health Care,5942.0000,0.0181,0.0095
HSY,The Hershey Company,Consumer Staples,5942.0000,0.0142,0.0072
MOS,The Mosaic Company,Materials,5942.0000,0.0259,0.0111
TRV,The Travelers Companies Inc.,Financials,5942.0000,0.0137,0.0073
DIS,The Walt Disney Company,Consumer Discretionary,5942.0000,0.0143,0.0078
TMO,Thermo Fisher Scientific,Health Care,5942.0000,0.0149,0.0079
TIF,Tiffany & Co.,Consumer Discretionary,5942.0000,0.0183,0.0093
TWX,Time Warner Inc.,Consumer Discretionary,5906.0000,0.0102,0.0071
TJX,TJX Companies Inc.,Consumer Discretionary,5942.0000,0.0163,0.0072
TMK,Torchmark Corp.,Financials,5942.0000,0.0128,0.0067
TSS,Total System Services,Information Technology,5942.0000,0.0163,0.0078
TSCO,Tractor Supply Company,Consumer Discretionary,5942.0000,0.0233,0.0111
TDG,TransDigm Group,Industrials,3122.0000,0.0196,0.0105
TRIP,TripAdvisor,Consumer Discretionary,1677.0000,0.0320,0.0189
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,5642.0000,0.0214,0.0120
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,5942.0000,0.0208,0.0116
TSN,Tyson Foods,Consumer Staples,5942.0000,0.0171,0.0076
USB,U.S. Bancorp,Financials,5942.0000,0.0146,0.0067
UDR,UDR Inc,Real Estate,5942.0000,0.0143,0.0066
ULTA,Ulta Beauty,Consumer Discretionary,2715.0000,0.0248,0.0126
UAA,Under Armour Class A,Consumer Discretionary,3200.0000,0.0352,0.0179
UA,Under Armour Class C,Consumer Discretionary,589.0000,0.0348,0.0188
UNP,Union Pacific,Industrials,5942.0000,0.0178,0.0095
UAL,United Continental Holdings,Industrials,3148.0000,0.0237,0.0111
UNH,United Health Group Inc.,Health Care,5942.0000,0.0155,0.0098
UPS,United Parcel Service,Industrials,4715.0000,0.0144,0.0081
URI,"United Rentals, Inc.",Industrials,5192.0000,0.0270,0.0115
UTX,United Technologies,Industrials,5942.0000,0.0138,0.0090
UHS,"Universal Health Services, Inc.",Health Care,5942.0000,0.0198,0.0105
UNM,Unum Group,Financials,5942.0000,0.0178,0.0093
VFC,V.F. Corp.,Consumer Discretionary,5942.0000,0.0168,0.0081
VLO,Valero Energy,Energy,5942.0000,0.0196,0.0100
VAR,Varian Medical Systems,Health Care,5942.0000,0.0159,0.0094
VTR,Ventas Inc,Real Estate,5351.0000,0.0172,0.0083
VRSN,Verisign Inc.,Information Technology,5164.0000,0.0162,0.0085
VRSK,Verisk Analytics,Industrials,2224.0000,0.0137,0.0077
VZ,Verizon Communications,Telecommunication Services,5942.0000,0.0150,0.0074
VRTX,Vertex Pharmaceuticals Inc,Health Care,5942.0000,0.0262,0.0110
VIAB,Viacom Inc.,Consumer Discretionary,3190.0000,0.0293,0.0168
V,Visa Inc.,Information Technology,2616.0000,0.0133,0.0081
VNO,Vornado Realty Trust,Real Estate,5942.0000,0.0163,0.0069
VMC,Vulcan Materials,Materials,5942.0000,0.0227,0.0098
WMT,Wal-Mart Stores,Consumer Staples,5942.0000,0.0144,0.0080
WBA,Walgreens Boots Alliance,Consumer Staples,5942.0000,0.0193,0.0108
WM,Waste Management Inc.,Industrials,5942.0000,0.0111,0.0076
WAT,Waters Corporation,Health Care,5719.0000,0.0164,0.0089
WEC,Wec Energy Group Inc,Utilities,5942.0000,0.0130,0.0055
WFC,Wells Fargo,Financials,5942.0000,0.0164,0.0073
WELL,Welltower Inc.,Real Estate,114.0000,0.0214,0.0103
WDC,Western Digital,Information Technology,5942.0000,0.0260,0.0117
WU,Western Union Co,Information Technology,2983.0000,0.0163,0.0087
WRK,WestRock Company,Materials,787.0000,0.0184,0.0089
WY,Weyerhaeuser Corp.,Real Estate,5942.0000,0.0152,0.0065
WHR,Whirlpool Corp.,Consumer Discretionary,5942.0000,0.0189,0.0087
WMB,Williams Cos.,Energy,5942.0000,0.0194,0.0099
WLTW,Willis Towers Watson,Financials,653.0000,0.0159,0.0093
WYN,Wyndham Worldwide,Consumer Discretionary,2988.0000,0.0168,0.0104
WYNN,Wynn Resorts Ltd,Consumer Discretionary,3973.0000,0.0239,0.0121
XEL,Xcel Energy Inc,Utilities,5942.0000,0.0130,0.0059
XRX,Xerox Corp.,Information Technology,5942.0000,0.0200,0.0125
XLNX,Xilinx Inc,Information Technology,5942.0000,0.0196,0.0106
XL,XL Capital,Financials,5942.0000,0.0150,0.0139
XYL,Xylem Inc.,Industrials,1715.0000,0.0163,0.0088
YUM,Yum! Brands Inc,Consumer Discretionary,5257.0000,0.0132,0.0082
ZBH,Zimmer Biomet Holdings,Health Care,4286.0000,0.0169,0.0085
ZION,Zions Bancorp,Financials,5942.0000,0.0221,0.0094
ZTS,Zoetis,Health Care,1389.0000,0.0153,0.0089
